Plate Number	Common Name	Scientific Name	Scientific Author
241	Showy Orchis	Orchis spectabilis	Linnaeus
242	Rosebud Orchid	Pogonia divaricata	(Linnaeus) Robert Brown
243	Large Purple Fringe-orchid	Habenaria grandiflora	(Bigelow) Torrey
244	Franklinia	Franklinia alatamaha	Marshall
245	Blue Phlox	Phlox divaricata	Linnaeus
246	Blue-eyed-mary	Collinsia verna	Nuttall
247	Dutchmans-breeches	Bicuculla cucullaria	(Linnaeus) Millspaugh
248	Peatpink	Silene caroliniana	Walter
249	Cut Toothwort	Dentaria laciniata	Muhlenberg
250	Sweet Pitcherplant	Sarracenia rubra	Walter
251	Hooded Pitcherplant	Sarracenia minor	Walter
252	Bowmanstroot	Porteranthus trifoliatus	(Linnaeus) Britton
253	Pinkshell Azalea	Azalea vaseyi	(Gray) Rehder
254	Rosebay Rhododendron	Rhododendron maximum	Linnaeus
255	Atamasco-lily	Atamosco atamasco	(Linnaeus) Greene
256	Turkscap Lily	Lilium superbum	Linnaeus
257	Orange Polygala	Polygala lutea	Linnaeus
258	Red-helmet	Pedicularis bracteosa	Bentham
259	Turtledock	Colocasia globra	Linnaeus
260	Scarlet Elder	Sambucus pubens	Michaux
261	Crossvine	Anisostichus capreolatus	(Linnaeus) Bureau
262	Indianpipe	Monotropa uniflora	Linnaeus
