cleaned_ocr,common_name,scientific_name,range,specimen_sketched,plate_number,corrected_plate,page_id,state,country
"MOUNTAIN LADYSLIPPER

Cypripedium montanum Douglas

One lovely morning in early summer we left camp near Radium Hot Springs in the Columbia River Valley in British Columbia, our two saddle horses harnessed to the buckboard, the saddles securely tied behind the seat. After a drive of seven miles the horses were saddled, and we followed a disused trail four or five miles back into the range on the eastern side of the valley. There were many flowers, the dense growth of trees and shrubs keeping out the hot rays of the sun and conserving the moisture. Just as we turned across a partially shaded flat on the side of the little canyon we had been traversing, a wonderful sight burst upon us. Scattered among the low-growing bushes were great clumps of this splendid orchid in the perfection of bloom. A beautiful plant about eighteen inches tall, with a delicate perfume quite its own—no wonder that we quickly dismounted to pay homage to this queen of the forest.

Never before had we seen such a flower, and no book upon the plants of the Canadian Rockies mentioned its occurrence there. A bunch carried to camp survived many days, long after the sketch was completed.

The mountain ladyslipper is frequently found in the mountains of California, and northward along the coast as far as Vancouver, and northeastward along the Rocky Mountains to Saskatchewan.

PLATE I",MOUNTAIN LADYSLIPPER,Cypripedium montanum Douglas,"The mountain ladyslipper is frequently found in the mountains of California, and northward along the coast as far as Vancouver, and northeastward along the Rocky Mountains to Saskatchewan.","A bunch carried to camp survived many days, long after the sketch was completed.",I,1,42602734,?,?
"PUSSY-EARS

Calochortus elegans Lindley

We were following the old stage road, now replaced by a new motor road, in the Columbia River Valley, twenty miles south of Canal Flats, at an altitude of 2,500 feet. The marvelous larches and pines of the primeval forest towered above us, and over the grassy forest floor were scattered many flowers with which we were familiar. Suddenly we saw the grass dotted with a white lily, which was unknown to us, and upon examination we quickly comprehended the reason for its common name of “pussy-ears,” which our companion gave it. So graceful was it that we could only wonder that a flower so beautiful had not been enticed long ago to grow in our cultivated gardens.

Pussy-ears ranges from Utah and California to British Columbia and Montana.

PLATE 2",PUSSY-EARS,Calochortus elegans Lindley,Pussy-ears ranges from Utah and California to British Columbia and Montana.,[not given],2,2,42602733,?,?
"FALSE LOCOWEED

Oxytropis gracilis (Nelson) Jones

This plant must not be confused with its relative, the true loco-weed, that is so destructive to animals on the plains of the southwestern United States; it seemed entirely harmless to our horses, who ate it freely. In full sunshine its pale yellow or straw-colored flowers, borne on stems six or eight inches tall, are wonderfully attractive against their setting of sage-colored foliage. In limestone regions, where moisture is limited, the blossoms develop well only if an abundance of water is available at flowering time.

False locoweed is a member of the Pea Family. It ranges from Idaho to South Dakota and northward into Alberta, Canada.

The specimen sketched was obtained near Ghost River on the eastern slope of the Rocky Mountains, twenty-five miles from Banff, Alberta, at an altitude of 3,500 feet.

PLATE 3",FALSE LOCOWEED,Oxytropis gracilis (Nelson) Jones,"False locoweed is a member of the Pea Family. It ranges from Idaho to South Dakota and northward into Alberta, Canada.","The specimen sketched was obtained near Ghost River on the eastern slope of the Rocky Mountains, twenty-five miles from Banff, Alberta, at an altitude of 3,500 feet.",3,3,42602732,Alberta,Canada
"NODDING LADIES-TRESSES

Ibidium cernuum (Linnaeus) House

SLENDER LADIES-TRESSES

Ibidium gracile (Bigelow) House

These two fall-blooming members of the Orchid Family are frequently found growing in the grass of old pastures. Nodding ladies-tresses usually chooses a wet situation, but the slender one is more likely to be found in drier places. Both are inconspicuous in their chosen habitats, for their leaves and stalks are so grasslike that they seem a part of the general herbage. The genus name has arisen from the fancied resemblance of the anther to the head of an ibis.

Many botanists prefer to use the genus name Spiranthes, which means spital-flower, but Ibidium has priority.

Slender ladies-tresses is notable for its green-centered lip, and for the fact that its leaves, which are evergreen, wither away before flowering time, the flower stalks bearing only inconspicuous bracts.

These two orchids have a similar range, occurring from Florida northward and westward, extending into southernmost Canada.

The specimens sketched were found near Mount Kisco, New York.

PLATE 4",NODDING LADIES-TRESSES,Ibidium cernuum (Linnaeus) House,"These two orchids have a similar range, occurring from Florida northward and westward, extending into southernmost Canada.","The specimens sketched were found near Mount Kisco, New York.",4,4,42602731,New York,USA
"PINK FUMEROOT

Capnoides sempervirens (Linnaeus) Borkhausen

Pink fumeroot is a dainty wild beauty that loves rich rocky woods, where it grows in perfection. The leaves are a delicate shade of green, and the pale pink flowers, with a yellow lip, poised on slender stems, sway gently in the wind. The plant is a relative of the bleeding-heart of our gardens, and of the European fumitory. Like the latter, its roots exhale an intense nitrous odor, and the common name fumeroot refers to this characteristic feature.

Pink fumeroot has a wide range, from North Carolina to Nova Scotia and westward to British Columbia and Alaska.

We found it in the valley of the Kootenai River near the motor road between Banff and the Columbia River Valley, at an altitude of 4,000 feet.

PLATE 5",PINK FUMEROOT,Capnoides sempervirens (Linnaeus) Borkhausen,"Pink fumeroot has a wide range, from North Carolina to Nova Scotia and westward to British Columbia and Alaska.","We found it in the valley of the Kootenai River near the motor road between Banff and the Columbia River Valley, at an altitude of 4,000 feet.",5,5,42602730,Alberta,Canada
"SUN-DIAL LUPINE

Lupinus perennis Linnaeus

Sun-dial lupine in the East seldom equals in profusion of growth its sisters of the West, which often cover the hillsides with a carpet of bloom. Nevertheless, this common species of the Eastern States is as beautiful as any of the others, and deserves a place of honor in our wild gardens. In rich loam it will dwindle and die, but if planted in an acid, sandy soil, it will thrive in cultivation. Although usually bright blue, the flowers are occasionally white or lavender, sometimes bordering on purple.

In Texas, one of the lupines commonly called blue-bonnets has been named the State flower.

The sun-dial lupine is found from Louisiana and Florida north to Maine and Minnesota.

The specimen sketched grew near Washington, District of Columbia.

PLATE 6",SUN-DIAL LUPINE,Lupinus perennis Linnaeus,The sun-dial lupine is found from Louisiana and Florida north to Maine and Minnesota.,"The specimen sketched grew near Washington, District of Columbia.",6,6,42602729,District of Columbia,USA
"BIG WHORTLEBERRY

Vaccinium membranaceum Douglas

Snow slides are not to be desired, but after they have mowed down the forest of the mountain slopes, exposing the ground to the full sunlight, a bushy growth springs up, three or four feet tall, with young trees interspersed. Among these shrubs we find whortleberry bushes, Rocky Mountain rhododendron, and other plants that love similar conditions of soil and exposure. Here in late summer a delightful feast is spread for the traveler, for the big whortleberry bushes are loaded with dark purple berries, some of them as large as small cherries. A large quantity may be gathered in a short time. The black bears also appreciate them, and often are met in these localities, sitting on their haunches and sweeping the ripe fruit into their mouths with their great paws. In autumn the leaves turn a deep red.

Big whortleberry is found occasionally in the Rockies, but reaches greatest perfection in the Selkirk Mountains, and is especially abundant at Rogers Pass and in the vicinity of Glacier House at Glacier. It ranges from California, Wyoming, and Michigan to British Columbia.

The specimen sketched was obtained near Hector Station on the Canadian Pacific Railway, British Columbia, at an altitude of 5,000 feet.

PLATE 7",BIG WHORTLEBERRY,Vaccinium membranaceum Douglas,"Big whortleberry is found occasionally in the Rockies, but reaches greatest perfection in the Selkirk Mountains, and is especially abundant at Rogers Pass and in the vicinity of Glacier House at Glacier. It ranges from California, Wyoming, and Michigan to British Columbia.","The specimen sketched was obtained near Hector Station on the Canadian Pacific Railway, British Columbia, at an altitude of 5,000 feet.",7,7,42602728,British Columbia,Canada
"PINEBARREN GENTIAN

Gentiana porphyrio Gmelin

Pinebarren gentian is a graceful and attractive plant. Its deep blue corolla lobes, with peculiar fringes between them, and the curious yellow markings on the inside, make a pleasing color combination seldom seen in flowers. It frequents moist pine barrens, reaching a foot or more in height, and although the flowers grow singly on the branches, a number of stems usually arise from each root, so that the clumps are very showy.

This gentian blooms from late August into October, and can be cultivated if given the moist, acid, peaty soil in which it thrives in the wild state. It occurs in the Coastal Plain from Florida to southern New Jersey.

The specimen sketched was found near Wilmington, North Carolina.

PLATE 8",PINEBARREN GENTIAN,Gentiana porphyrio Gmelin,It occurs in the Coastal Plain from Florida to southern New Jersey.,"The specimen sketched was found near Wilmington, North Carolina.",8,8,42602727,North Carolina,USA
"SKELETON FLOWER

Lygodesmia juncea (Pursh) Don

This is a strange-looking plant, a foot tall, with pale pink, starlike flowers that close in the afternoon, or very soon after being gathered. Unconsciously, the observer is likely to notice only the flowers, for the rushlike stems and scalelike foliage are sage-green and inconspicuous. The plant belongs to the subdivision of the Aster Family that includes the dandelion, wild lettuce, and hawkweed, and is characterized by having all the flowers of the head furnished with petallike rays, and by a bitter milky juice.

The skeletonflower is found from Nevada and New Mexico north to Minnesota and Alberta.

We found it growing on a dry bank, high above the Kootenai River, near the junction of this stream with the Columbia River in British Columbia, at an altitude of 2,800 feet, and marveled that it could thrive in dusty soil, which remains damp only a short time after the mountain showers cease.

PLATE 9",SKELETON FLOWER,Lygodesmia juncea (Pursh) Don,The skeletonflower is found from Nevada and New Mexico north to Minnesota and Alberta.,"We found it growing on a dry bank, high above the Kootenai River, near the junction of this stream with the Columbia River in British Columbia, at an altitude of 2,800 feet, and marveled that it could thrive in dusty soil, which remains damp only a short time after the mountain showers cease.",9,9,42602726,British Columbia,Canada
"LAKE LOUISE ARNICA

Arnica louiseana Fatr

The horses had traveled a hard and stony way, very steep in places, for we were riding above timber line to visit an alpine lake tucked away in a glaciated cirque near the headwaters of the Clearwater River in British Columbia. There had been no trail to follow, except for the first half mile from camp, and we had reveled in the constant succession of wild gardens, filled with mountain flowers in the perfection of bloom, through which we were passing. Many of the plants were crushed by the feet of the ponies, and we were continually on the watch for new varieties. A long grassy slope facing north was being conquered, when several yellow flowers appeared, quite different from any we had seen before in the mountains. Upon closer examination they were recognized as the rare Lake Louise arnica, a composite found only in the Canadian Rockies. The best specimens were carefully gathered, carried to camp, and sketched without delay, but the thrill of seeing them in their native habitat will always be recalled with delight.

PLATE IO",LAKE LOUISE ARNICA,Arnica louiseana Fatr,The Lake Louise arnica is a composite found only in the Canadian Rockies.,"The best specimens were carefully gathered, carried to camp, and sketched without delay.",IO,10,42602725,?,?
